NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)
AGPAT5	1	AGPAT5
AGPS	1	AGPS
AGRN	1	AGRN
AGT	1	AGT
AGTPBP1	1	AGTPBP1
AGTR1	1	AGTR1
AGTRAP	1	AGTRAP
AHCTF1	1	AHCTF1
AHCTF1P1	1	AHCTF1P1
AHCY	1	AHCY
AHCYL1	1	AHCYL1
AHCYL2	1	AHCYL2
AHDC1	1	AHDC1
AHI1	1	AHI1
AHI1-DT	1	LINC00271
AHNAK	1	AHNAK
AHNAK2	1	AHNAK2
AHR	1	AHR
AHRR	1	AHRR
AHSA1	1	AHSA1
AHSA2P	1	AHSA2P
AIDA	1	AIDA
AIFM1	1	AIFM1
AIFM2	1	AIFM2
AIFM3	1	AIFM3
AIG1	1	AIG1
AIMP1	1	AIMP1
AIMP2	1	AIMP2
AIP	1	AIP
AJAP1	1	AJAP1
AJM1	1	AJM1
AJUBA	1	AJUBA
AK1	1	AK1
AK2	1	AK2
AK3	1	AK3
AK4	1	AK4
AK5	1	AK5
AK6	1	AK6
AK7	1	AK7
AK8	1	AK8
AK9	1	AK9
AKAP1	1	AKAP1
AKAP10	1	AKAP10
AKAP11	1	AKAP11
AKAP12	1	AKAP12
AKAP13	1	AKAP13
AKAP17A	1	AKAP17A
AKAP3	1	AKAP3
AKAP5	1	AKAP5
AKAP6	1	AKAP6
AKAP7	1	AKAP7
AKAP8	1	AKAP8
AKAP8L	1	AKAP8L
AKAP9	1	AKAP9
AKIP1	1	AKIP1
AKIRIN1	1	AKIRIN1
AKIRIN2	1	AKIRIN2
AKNA	1	AKNA
AKR1A1	1	AKR1A1
AKR1B1	1	AKR1B1
AKR1B10	1	AKR1B10
AKR1B15	1	AKR1B15
AKR1C1	1	AKR1C1
AKR1C2	1	AKR1C2
AKR1C3	1	AKR1C3
AKR1E2	1	AKR1E2
AKR7A2	1	AKR7A2
AKR7A3	1	AKR7A3
AKR7L	1	AKR7L
AKT1	1	AKT1
AKT1S1	1	AKT1S1
AKT2	1	AKT2
AKT3	1	AKT3
AKTIP	1	AKTIP
ALAD	1	ALAD
ALAS1	1	ALAS1
ALCAM	1	ALCAM
ALDH16A1	1	ALDH16A1
ALDH18A1	1	ALDH18A1
ALDH1A1	1	ALDH1A1
ALDH1A2	1	ALDH1A2
ALDH1A3	1	ALDH1A3
ALDH1A3-AS1	1	LOC101927751
ALDH1B1	1	ALDH1B1
ALDH1L1	1	ALDH1L1
ALDH1L2	1	ALDH1L2
ALDH2	1	ALDH2
ALDH3A1	1	ALDH3A1
ALDH3A2	1	ALDH3A2
ALDH3B1	1	ALDH3B1
ALDH4A1	1	ALDH4A1
ALDH5A1	1	ALDH5A1
ALDH6A1	1	ALDH6A1
ALDH7A1	1	ALDH7A1
ALDH8A1	1	ALDH8A1
ALDH9A1	1	ALDH9A1
ALDOA	1	ALDOA
ALDOC	1	ALDOC
ALG1	1	ALG1
ALG10	1	ALG10
ALG10B	1	ALG10B
ALG11	1	ALG11
ALG12	1	ALG12
ALG13	1	ALG13
ALG14	1	ALG14
ALG1L9P	1	ALG1L9P
ALG2	1	ALG2
ALG3	1	ALG3
ALG5	1	ALG5
ALG6	1	ALG6
ALG8	1	ALG8
ALG9	1	ALG9
ALKBH1	1	ALKBH1
ALKBH2	1	ALKBH2
ALKBH3	1	ALKBH3
ALKBH4	1	ALKBH4
ALKBH5	1	ALKBH5
ALKBH6	1	ALKBH6
ALKBH7	1	ALKBH7
ALKBH8	1	ALKBH8
ALMS1	1	ALMS1
ALMS1P1	1	ALMS1P1
ALOX12-AS1	1	ALOX12-AS1
ALPK1	1	ALPK1
ALPK2	1	ALPK2
ALPK3	1	ALPK3
ALPL	1	ALPL
ALS2	1	ALS2
ALS2CL	1	ALS2CL
ALX1	1	ALX1
ALX3	1	ALX3
ALX4	1	ALX4
ALYREF	1	ALYREF
AMACR	1	AMACR
AMBP	1	AMBP
AMBRA1	1	AMBRA1
AMD1	1	AMD1
AMDHD1	1	AMDHD1
AMDHD2	1	AMDHD2
AMER1	1	AMER1
AMFR	1	AMFR
AMH	1	AMH
AMIGO1	1	AMIGO1
AMIGO2	1	AMIGO2
AMIGO3	1	AMIGO3
AMMECR1	1	AMMECR1
AMMECR1L	1	AMMECR1L
AMN1	1	AMN1
AMOT	1	AMOT
AMOTL1	1	AMOTL1
AMOTL2	1	AMOTL2
AMPD2	1	AMPD2
AMPD3	1	AMPD3
AMPH	1	AMPH
AMT	1	AMT
AMY2B	1	AMY2B
AMZ1	1	AMZ1
AMZ2	1	AMZ2
AMZ2P1	1	AMZ2P1
ANAPC1	1	ANAPC1
ANAPC10	1	ANAPC10
ANAPC11	1	ANAPC11
ANAPC13	1	ANAPC13
ANAPC15	1	ANAPC15
ANAPC16	1	ANAPC16
ANAPC1P2	1	LOC285074
ANAPC2	1	ANAPC2
ANAPC4	1	ANAPC4
ANAPC5	1	ANAPC5
ANAPC7	1	ANAPC7
ANG	1	ANG
ANGEL1	1	ANGEL1
ANGEL2	1	ANGEL2
ANGPT1	1	ANGPT1
ANGPT2	1	ANGPT2
ANGPTL1	1	ANGPTL1
ANGPTL2	1	ANGPTL2
ANGPTL4	1	ANGPTL4
ANGPTL5	1	ANGPTL5
ANGPTL6	1	ANGPTL6
ANGPTL7	1	ANGPTL7
ANK1	1	ANK1
ANK2	1	ANK2
ANK3	1	ANK3
ANKAR	1	ANKAR
ANKDD1A	1	ANKDD1A
ANKDD1B	1	ANKDD1B
ANKEF1	1	ANKEF1
ANKFY1	1	ANKFY1
ANKH	1	ANKH
ANKHD1	1	ANKHD1
ANKIB1	1	ANKIB1
ANKK1	1	ANKK1
ANKLE1	1	ANKLE1
ANKLE2	1	ANKLE2
ANKMY1	1	ANKMY1
ANKMY2	1	ANKMY2
ANKRA2	1	ANKRA2
ANKRD1	1	ANKRD1
ANKRD10	1	ANKRD10
ANKRD11	1	ANKRD11
ANKRD12	1	ANKRD12
ANKRD13A	1	ANKRD13A
